id_contra_cheque,chave_coleta,nome,matricula,funcao,local_trabalho,tipo,ativo
tjsc/01/2021/229,tjsc/01/2021,GERALDO CORREA BASTOS,,,,MEMBRO,true
tjsc/01/2021/230,tjsc/01/2021,GERALDO DA ROCHA LOURES REICHMANN,,,,MEMBRO,true
tjsc/01/2021/231,tjsc/01/2021,GERHARDT WANDSCHEER,,,,MEMBRO,true
tjsc/01/2021/232,tjsc/01/2021,GERSON CHEREM II,,,,MEMBRO,true
tjsc/01/2021/233,tjsc/01/2021,GETULIO CORREA,,,,MEMBRO,true
tjsc/01/2021/234,tjsc/01/2021,GIANCARLO BREMER NONES,,,,MEMBRO,true
tjsc/01/2021/235,tjsc/01/2021,GIANCARLO ROSSI,,,,MEMBRO,true
tjsc/01/2021/236,tjsc/01/2021,GILBERTO GOMES DE OLIVEIRA,,,,MEMBRO,true
tjsc/01/2021/237,tjsc/01/2021,GILBERTO GOMES DE OLIVEIRA JUNIOR,,,,MEMBRO,true
tjsc/01/2021/238,tjsc/01/2021,GILBERTO KILIAN DOS ANJOS,,,,MEMBRO,true
tjsc/01/2021/239,tjsc/01/2021,GILDO KUTNE,,,,MEMBRO,true
tjsc/01/2021/240,tjsc/01/2021,GILMAR ANTONIO CONTE,,,,MEMBRO,true
tjsc/01/2021/241,tjsc/01/2021,GILMAR NICOLAU LANG,,,,MEMBRO,true
tjsc/01/2021/242,tjsc/01/2021,GIOVANA MARIA CARON BOSIO MACHADO,,,,MEMBRO,true
tjsc/01/2021/243,tjsc/01/2021,GISELE RIBEIRO,,,,MEMBRO,true
tjsc/01/2021/244,tjsc/01/2021,GIULIANO ZIEMBOWICZ,,,,MEMBRO,true
tjsc/01/2021/245,tjsc/01/2021,GIUSEPPE BATTISTOTTI BELLANI,,,,MEMBRO,true
tjsc/01/2021/246,tjsc/01/2021,GRAZIELA SHIZUIHO ALCHINI,,,,MEMBRO,true
tjsc/01/2021/247,tjsc/01/2021,GRISELDA REZENDE DE MATOS MUNIZ CAPELLARO,,,,MEMBRO,true
tjsc/01/2021/248,tjsc/01/2021,GUILHERME AUGUSTO PORTELA DE GOUVEA,,,,MEMBRO,true
tjsc/01/2021/249,tjsc/01/2021,GUILHERME COSTA CESCONETTO,,,,MEMBRO,true
tjsc/01/2021/250,tjsc/01/2021,GUILHERME MATTEI BORSOI,,,,MEMBRO,true
tjsc/01/2021/251,tjsc/01/2021,GUILHERME MAZZUCCO PORTELA,,,,MEMBRO,true
tjsc/01/2021/252,tjsc/01/2021,GUILHERME NUNES BORN,,,,MEMBRO,true
tjsc/01/2021/253,tjsc/01/2021,GUILHERME SILVA PEREIMA,,,,MEMBRO,true
tjsc/01/2021/254,tjsc/01/2021,GUSTAVO BRISTOT DE MELLO,,,,MEMBRO,true
tjsc/01/2021/255,tjsc/01/2021,GUSTAVO EMELAU MARCHIORI,,,,MEMBRO,true
tjsc/01/2021/256,tjsc/01/2021,GUSTAVO HENRIQUE ARACHESKI,,,,MEMBRO,true
tjsc/01/2021/257,tjsc/01/2021,GUSTAVO MARCOS DE FARIAS,,,,MEMBRO,true
tjsc/01/2021/258,tjsc/01/2021,GUSTAVO SANTOS MOTTOLA,,,,MEMBRO,true
