orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJRS,direitos-eventuais,Normal,Indenização de férias,Opaco,N,NA
TJRS,direitos-eventuais,Normal,Antecipação de gratificação natalina,Benefício,N,NA
TJRS,direitos-eventuais,Normal,Abono constitucional de 1/3 de férias,Benefício,N,NA
TJRS,direitos-eventuais,Normal,Gratificação por exercício cumulativo,Remuneração,S,NA
TJRS,direitos-eventuais,Normal,Gratificação natalina,Benefício,N,NA
TJRS,direitos-eventuais,Normal,Substituição,Remuneração,S,NA
TJRS,direitos-eventuais,Normal,Antecipação de férias,Opaco,N,NA
TJRS,direitos-eventuais,Normal,Gratificação por encargo Curso/Concurso,Remuneração,N,S
TJRS,direitos-eventuais,Normal,JETON,Penduricalho,N,S
TJRS,direitos-pessoais,Normal,Abono de permanência,Benefício,N,NA
TJRS,indenizações,Normal,Auxílio-alimentação,Penduricalho,N,NA
TJRS,indenizações,Normal,Auxílio Moradia,Penduricalho,N,NA
TJRS,indenizações,Normal,Auxílio Saúde,Penduricalho,N,NA
TJRS,indenizações,Normal,Ajuda de Custo,Penduricalho,N,NA
TJRS,indenizações,Normal,Auxílio Natalidade,Penduricalho,N,NA
TJRS,indenizações,Normal,Auxílio Pré-escolar,Penduricalho,N,NA
TJRS,Direitos eventuais,Detalhe,Licença prêmio indenizada,Penduricalho,S,NA
TJRS,Direitos eventuais,Detalhe,Licença prêmio indenizda,Penduricalho,S,NA
TJRS,Direitos eventuais,Detalhe,correção e juros indenizações,Opaco,NA,Impossível saber
TJRS,Direitos eventuais,Detalhe,Correção e juros indenizações,Opaco,NA,Impossível saber
TJRS,Indenizações,Detalhe,abono familia,Penduricalho,N,Sim
TJRS,Indenizações,Detalhe,abono família,Penduricalho,N,Sim
TJRS,Indenizações,Detalhe,Abono família,Penduricalho,N,Sim
TJBA,contracheque,Normal,Subsídio,Remuneração,S,NA
TJBA,contracheque,Normal,Diárias,Diárias,N,NA
TJBA,contracheque,Normal,Remuneração do órgão de origem,Remuneração,S,NA
TJBA,contracheque,Normal,Descontos Diversos,Descontos,Não se aplica,NA
TJBA,contracheque,Normal,Retenção por Teto Constitucional,Descontos,Não se aplica,NA
TJBA,contracheque,Normal,Previdência Pública,Descontos,Não se aplica,NA
TJBA,contracheque,Normal,Imposto de renda,Descontos,Não se aplica,NA
TJBA,direitos-eventuais,Normal,Pagamentos retroativos,Opaco,Impossível Saber,NA
TJBA,direitos-eventuais,Normal,Indenização de férias,Opaco,N,NA
TJBA,direitos-eventuais,Normal,Antecipação de gratificação natalina,Benefício,N,NA
TJBA,direitos-eventuais,Normal,Abono constitucional de 1/3 de férias,Benefício,N,NA
TJBA,direitos-eventuais,Normal,Gratificação por exercício cumulativo,Remuneração,S,NA
TJBA,direitos-eventuais,Normal,Gratificação natalina,Benefício,N,NA
TJBA,direitos-eventuais,Normal,Substituição,Remuneração,S,NA
TJBA,direitos-eventuais,Normal,Antecipação de férias,Opaco,N,NA
TJBA,direitos-eventuais,Normal,Gratificação por encargo Curso/Concurso,Remuneração,N,S
TJBA,direitos-eventuais,Normal,JETON,Penduricalho,N,S
TJBA,direitos-pessoais,Normal,Abono de permanência,Benefício,N,NA
TJBA,indenizações,Normal,Auxílio-alimentação,Penduricalho,N,NA
TJBA,indenizações,Normal,Auxílio Moradia,Penduricalho,N,NA
TJBA,indenizações,Normal,Auxílio Saúde,Penduricalho,N,NA
TJBA,indenizações,Normal,Ajuda de Custo,Penduricalho,N,NA
TJBA,indenizações,Normal,Auxílio Natalidade,Penduricalho,N,NA
TJBA,indenizações,Normal,Auxílio Pré-escolar,Penduricalho,N,NA
TJBA,Direitos pessoais,Detalhe,ABONO PERMANÊNCIA GRATIFICAÇÃO NATALINA,Opaco,N,Não sabemos
TJBA,Direitos pessoais,Detalhe,VANTAGEM PESSOAL DE SALARIO FAMILIA,Penduricalho,N,Sim
TJBA,Direitos pessoais,Detalhe,VANTAGEM PESSOAL DE SALARIO FAMILIA / (ABONO PERMANÊNCIA GRATIFICAÇÃO NATALINA,Opaco,N,Não sabemos
TJBA,Direitos eventuais,Detalhe,DIFERENÇA DE ENTRÂNCIA,Remuneração,S,NA
TJBA,Direitos eventuais,Detalhe,DIFERENÇA DE ENTRÂNCIA / DIR. DE FORO,Opaco,S,NA
TJBA,Direitos eventuais,Detalhe,DIFERENÇA DE ENTRÂNCIA / DIR. DE FORO / GRAT. INSTRUTORIA,Opaco,NA,Impossível saber
TJBA,Direitos eventuais,Detalhe,DIFERENÇA DE ENTRÂNCIA / GRAT. INSTRUTORIA,Opaco,NA,Impossível saber
TJBA,Direitos eventuais,Detalhe,DIR. DE FORO,Remuneração,S,NA
TJBA,Direitos eventuais,Detalhe,DIR. DE FORO / GRAT. INSTRUTORIA,Opaco,NA,Impossível saber
TJBA,Direitos eventuais,Detalhe,GRAT. INSTRUTORIA,Remuneração,N,Sim
TJBA,Direitos eventuais,Detalhe,ABONO PECUNIÁRIO,Benefício,N,NA
TJBA,Direitos eventuais,Detalhe,REPRESENTAÇÃO,CONSULTAR,NA,NA
TJBA,Direitos eventuais,Detalhe,REPRESENTAÇÃO / ABONO PECUNIÁRIO,Opaco,NA,NA
